source,target
A2M,LRP1
A2M,KLK3
SERPINA3,KLK3
ABL1,MICAL1
ABL1,ROBO1
ACTB,SMARCA4
ACTL6A,SMARCA4
ACTN1,PKD1
ACVR1,NEK8
ADRBK2,CXCR4
AP1B1,AMPH
AP1B1,AP2M1
AP1B1,ARRB2
AP1B1,ATR
AP1B1,AP1G1
AP1B1,ATF7IP
AP1B1,SMAD2
AP1B1,BUB1
AP1B1,BUB1B
AP1B1,SHBG
AP1B1,AP1M2
AP1B1,AP1M1
AP1B1,KIF13A
AP1B1,CLINT1
AP1B1,PRKDC
AP1B1,ATM
AP1B1,PIP5K1C
AP1B1,CREBBP
AP1B1,CLTC
AP1B1,ARF1
AP1B1,ARF5
AP1B1,ARF6
ACAN,MMP20
ACAN,MMP14
ACAN,CTSB
ACAN,ADAMTS1
ACAN,TNR
ACAN,LUM
ACAN,MMP19
ACAN,FBLN1
ACAN,MMP1
ACAN,MMP3
ACAN,ADAMTS4
ACAN,VCAN
ACAN,FBLN2
ACAN,ADAMTS5
ACAN,MMP2
ACAN,TNFAIP6
ACAN,HAPLN1
ACAN,MMP8
AHR,SMARCA4
ALB,LRP2
ALB,KLK3
AMH,PCSK5
APBA2,LRP2
APBA2,LRP1
APBB1,LRP1
APBB1,LRP2
XIAP,TAB1
APOB,LRP2
APOE,LRP1
APOE,LRP2
APOH,LRP2
APP,LRP1
KLK3,PTHLH
KLK3,PZP
KLK3,SEMG1
KLK3,SEMG2
KLK3,EPOR
KLK3,SERPINA5
KLK3,SERPINA1
KLK3,IGFBP3
KLK3,PLG
KLK3,SLPI
KLK3,FN1
AR,SMARCA4
ARRB2,CXCR4
BMPR1A,TAB1
BMPR1B,SMAD6
POLR3D,TAB1
BRCA1,SMARCA4
C3,LRP1
C4BPA,LRP1
CACNA1A,PCSK5
CACNA1A,MEGF8
CACNA1A,LRP1
CACNA1A,LTBP1
CALR,LRP1
CANX,LRP1
CASP6,TAB1
CAV1,LRP1
RUNX2,SMAD6
CCNE1,SMARCA4
CD4,CXCR4
CDC6,PSKH1
CDH1,PKD1
CDKN2A,SMARCA4
CDX2,SMARCA4
CEBPA,SMARCA4
CEBPB,SMARCA4
CFL1,TAB1
CHD3,KIF15
CHD4,SMARCA4
CKB,TAB1
CLU,LRP2
CCR5,CXCR4
COL1A1,PKD1
COL2A1,PKD1
CREB1,SMARCA4
CRK,MICAL1
MAPK14,TAB1
MAPK14,ROBO1
CSN2,NEK8
CTGF,LRP1
CTNNA1,PKD1
CTNNB1,PKD1
CTNNB1,SMARCA4
CTSG,CXCR4
CTSG,LRP1
DAB1,LRP1
DAB1,LRP2
DAB2,LRP1
DAB2,LRP2
DBN1,TAB1
GADD45A,MICAL1
DES,PKD1
DLG1,LRP2
DLG2,LRP2
DLG3,LRP2
DLG4,LRP1
DLG4,LRP2
DPP4,CXCR4
DPT,LOX
ATN1,MEGF8
ATN1,PCSK5
ATN1,LRP2
ATN1,LTBP1
PHC2,TAB1
CELSR3,IFT140
MEGF8,GFI1B
ELANE,CXCR4
ELANE,LRP1
ELN,LOX
EPRS,TAB1
ESR1,SMARCA4
ETS2,SMARCA4
F8,LRP1
F9,LRP1
FANCA,SMARCA4
FBN1,LTBP1
FBN2,LTBP1
FN1,PKD1
FN1,LTBP1
GATA1,SMARCA4
GC,LRP2
GLI1,SUFU
GLI2,SUFU
GLI3,SUFU
GNAI1,CXCR4
GRB2,MICAL1
NR3C1,SMARCA4
GSK3B,MICAL1
HIST1H1B,LOX
H2AFX,SMARCA4
H3F3A,SMARCA4
HLA-C,CXCR4
HMGA1,SUFU
HNRNPA1,SUFU
HOXC8,SMAD6
PRMT1,ZBTB14
HSF1,SMARCA4
HSF4,SMARCA4
HSPA1A,DYX1C1
HSPA8,CXCR4
IGFBP3,LTBP1
RBPJ,SUFU
IGSF1,HECTD1
INS,LRP2
ITGA6,PCSK5
ITGB5,LTBP1
JAK1,CXCR4
JAK2,CXCR4
JAK2,PKD1
JAK3,CXCR4
JUP,PKD1
CD82,LRP1
KRT8,PKD1
KRT18,PKD1
LCN2,LRP2
LDLR,SNX17
LGALS3,SUFU
LIPC,LRP1
LOX,HIST1H2BJ
LOX,DHDDS
LPA,LRP2
LPL,LRP1
LPL,LRP2
LRP1,GIPC1
LRP1,MAPK8IP1
LRP1,HSP90B1
LRP1,THBS1
LRP1,ANAPC10
LRP1,KAT5
LRP1,PDGFB
LRP1,SYNJ2BP
LRP1,WNT3A
LRP1,FURIN
LRP1,ITGB1BP1
LRP1,SNX17
LRP1,SRC
LRP1,SERPINE1
LRP1,SHC1
LRP1,BACE1
LRP1,LRPAP1
LRP1,SKIL
LRP1,PLAT
LRP1,PLAUR
LRP1,LTF
LRP1,SCN3A
LRP1,GTPBP1
LRP1,MDK
LRP1,MMP13
LRP1,MMP14
LRP1,MMP15
LRP1,MMP16
LRP1,MMP17
LRP1,SERPINA1
LRP1,PRKACA
LRP1,MAPK8IP2
LRP1,NOS1AP
LRP1,GULP1
LRP2,GIPC1
LRP2,LDLRAP1
LRP2,GPRASP1
LRP2,THBS1
LRP2,SLC9A3
LRP2,ANAPC10
LRP2,ANKRA2
LRP2,SYNJ2BP
LRP2,MAPK8IP1
LRP2,ITGB1BP1
LRP2,SNX17
LRP2,RBP1
LRP2,SCGB1A1
LRP2,SERPINE1
LRP2,ANKS1B
LRP2,TLN1
LRP2,LRPAP1
LRP2,PLAU
LRP2,SCN3A
LRP2,CUBN
LRP2,MDK
LRP2,PIP5K1C
LRP2,TTR
LRP2,MAPK8IP2
LRP2,MAGI1
LRP2,NOS1AP
LRP2,LRP2BP
LRP2,TG
LTBP1,TGFB1
LTBP1,TGM2
SMAD1,SMAD6
SMAD6,SMURF1
SMAD6,STRAP
SMAD6,MAP3K7
SMAD6,TGFBR1
SMAD6,TOB1
SMAD6,SMURF2
SMAD6,TAB1
SMAD6,STAMBP
SMAD6,RNF111
SMAD6,SMAD7
SMAD6,MAPK6
SMAD6,RPS6KA5
SMAD7,TAB1
MAP3K4,CNTRL
CIITA,SMARCA4
MKI67,KIF15
MYC,SMARCA4
MYH9,CXCR4
NEDD9,MICAL1
NEK2,IFT140
NR4A2,SMARCA4
PAFAH1B1,DNAI1
PAK1,C5orf42
PAX6,SMARCA4
PCSK5,REN
PCSK5,APPBP2
PCSK5,PTPRM
PCSK5,PMCH
PFDN1,IFT140
PHB,SMARCA4
SERPINA4,TAB1
PKD1,VCL
PKD1,HDAC9
PKD1,VIM
PKD1,SIAH1
PKD1,RGS7
PKD1,ATF7IP
PKD1,PXN
PKD1,PTK2
PKD1,TLN1
PKD1,SRC
PKD1,BCAR1
PKD1,PKD2
PLXNA2,HACE1
PPP1R7,TAB1
PRKAR1A,TAB1
MAPK6,CNTRL
MAPK11,TAB1
MAPK10,CEP290
PTK2,MICAL1
PTK2,CXCR4
PTPN6,CXCR4
PTPN11,CXCR4
PTPRC,CXCR4
RAB1A,MICAL1
RAB4A,HACE1
RAC1,HACE1
RANBP2,IFT140
RAP1A,SMARCA4
RB1,SMARCA4
RELB,SMARCA4
RFXAP,SMARCA4
ROBO1,SLIT2
ROBO1,ROBO2
ROBO1,TUBB3
ROBO1,SRGAP2
ROBO1,SRGAP1
ROBO1,SLIT1
RPL10,TAB1
RPLP1,TAB1
SDC4,CXCR4
CXCL12,CXCR4
SELP,SNX17
SKIL,SNX17
SMARCA4,CARM1
SMARCA4,STK11
SMARCA4,SIN3B
SMARCA4,ZMYND11
SMARCA4,ARID1B
SMARCA4,TMF1
SMARCA4,PBRM1
SMARCA4,MBD3
SMARCA4,HIST1H3A
SMARCA4,KLF1
SMARCA4,PABPN1
SMARCA4,CBX5
SMARCA4,SUMO1
SMARCA4,ARID2
SMARCA4,CHMP5
SMARCA4,SS18L1
SMARCA4,STAT2
SMARCA4,SMARCB1
SMARCA4,SMARCC1
SMARCA4,SMARCE1
SMARCA4,MYOCD
SMARCA4,IKZF1
SMARCA4,SIN3A
SMARCA4,MPHOSPH6
SMARCA4,MPP6
SMARCA4,MED17
SMARCA4,ARID1A
SMARCA4,SS18
SMARCA4,GMNN
SMARCA4,TP53
SMARCA4,STAT3
SMARCA4,MKL1
SMARCA4,BRWD1
SRC,MICAL1
STAT1,CXCR4
STAT2,CXCR4
STAT3,CXCR4
STAT5B,CXCR4
MAP3K7,TAB1
TGFBR1,NEK8
NR2C2,TAB1
TRAF2,TAB1
TRAF6,TAB1
UBC,CNTRL
SUMO1,CEP290
VAV1,CXCR4
VIM,MICAL1
VIM,KIF15
VIP,PRICKLE1
VLDLR,SNX17
YWHAG,TAB1
YWHAG,HECTD1
ZBTB14,ZBTB21
LRP8,SNX17
CXCR4,USP14
CXCR4,SOCS1
CXCR4,GNA13
CXCR4,ITCH
CXCR4,SOCS3
NCOA3,SUFU
SORBS2,SEMA6A
PIK3R3,MICAL1
MAPKAPK5,TAB1
PIAS1,SUFU
LAMTOR3,SUFU
TRADD,CNTRL
FADD,TAB1
BTRC,SUFU
SETDB1,SUFU
URB1,TAB1
RBX1,TAB1
PDCD6IP,TAB1
TSSC4,TAB1
ZNF263,SUFU
HNRNPR,TAB1
STUB1,DYX1C1
SAP18,SUFU
TAB1,MICAL1
TAB1,ZMYND11
TAB1,TRPC4AP
TAB1,ASRGL1
TAB1,PTPMT1
TAB1,NXPH3
TAB1,GIT1
TAB1,C9orf78
TAB1,C2orf44
TAB1,MTG2
TAB1,PHACTR3
TAB1,TAB2
TAB1,CARD11
TAB1,POLDIP2
TAB1,MON1A
TAB1,SNRNP35
TAB1,KIFC2
TAB1,LAP3
TAB1,TAB3
TAB1,ACAP3
TAB1,ARAP1
TAB1,LCMT1
TAB1,XPO7
SORBS1,SEMA6A
CXCR6,CXCL16
RAB10,MICAL1
RSG1,FUZ
QPRT,SUFU
ITSN2,SEMA6A
ZNF219,SUFU
EVL,SEMA6A
DYNC2LI1,DYNC2H1
SUFU,GLIS3
SUFU,ZNF446
SUFU,ZNF764
SUFU,RCN3
SUFU,PEX26
SUFU,ZNF747
SUFU,HDX
SUFU,MID1IP1
MKS1,TMEM67
PLXND1,SEMA4A
PLXND1,MACF1
KIF15,KIAA1377
KIF15,MAP1LC3A
SEMA6A,SH3RF1
RNF19A,SUFU
STK36,SUFU
RPS6KA6,MICAL1
SMURF2,PRICKLE1
MICAL1,RAB1B
AP1B1,NTRK2
AP1B1,BARD1
APP,CXCL16
APP,LRP2
APP,ANKS6
CDK8,SMARCA4
MARK2,PKD1
FOXJ1,RPUSD1
FOXJ1,NMRAL1
FOXJ1,OIP5
FOXJ1,TWF2
FOXJ1,TRMT6
FOXJ1,THRA
FOXJ1,SLC37A3
FN1,TAB1
HIST1H1A,LOX
HOXA1,PCSK5
LOX,HIST2H2BE
LRP1,HNRPDL
LRP1,MAPRE1
LRP1,ANKS1B
LRP1,CC2D1A
LRP1,SNRNP70
LRP1,PID1
LRP1,RIC8B
MYBL2,CXCR4
PPP2CB,TAB1
PPP2R1A,TAB1
PSKH1,SNTA1
PSKH1,RDH13
RBL1,SMARCA4
RBL2,SMARCA4
SMARCA4,CDK19
SMARCA4,MED6
SMARCA4,HIST2H2BE
SMARCA4,HIST1H4F
SMARCA4,DPF3
SMARCA4,HIST2H3C
TRIP6,TAB1
UBC,NEK8
UBE2L3,HACE1
SUMO1,SEMA6A
CXCR4,ATP13A2
OGT,TAB1
WTAP,TAB1
SNX17,RLIM
TAB1,CORO1A
TAB1,CDK5RAP3
EHD1,MICAL1
PAXIP1,DYNC2H1
ACAT1,CXCR4
AP1B1,FBXO7
AP1B1,PSME1
AP1B1,PARD3
AP1B1,ME1
AP1B1,PHF5A
AP1B1,TEX33
AP1B1,CYTH4
AP1B1,CDC42EP1
ACAN,BLM
ACAN,MAN2A2
ACAN,SLCO3A1
ACAN,IDH2
ACAN,STARD5
INTS8,TMEM67
ANXA2,SMAD6
KLK3,PIR
KLK3,ZNF331
KLK3,SCML1
KLK3,PBK
RHOB,SNX17
ZFP36L2,LTBP1
CAD,LTBP1
CCNE1,MEGF8
CD19,MICAL1
CD79B,FOXJ1
CDH6,DNAH5
