source,interactions,pathways,diseases
A2M,LRP1;KLK3,6,0
LTBP1,TGFB1;TGM2,1,0
H1FX,PLXND1,1,0
ITSN2,SEMA6A,1,0
WTAP,TAB1,1,0
CTNNB1,PKD1;SMARCA4,1,0
MAP3K7,TAB1,1,0
INTS8,TMEM67,1,0
APP,LRP1;CXCL16;LRP2;ANKS6,1,0
MAP3K4,CNTRL,1,0
CTGF,LRP1,1,0
RPLP1,TAB1,1,0
RPL10,TAB1,1,0
OGT,TAB1,1,0
F8,LRP1,1,0
F9,LRP1,1,0
CTNNA1,PKD1,1,0
MYH9,CXCR4,1,0
MARK2,PKD1,1,0
JUP,PKD1,1,0
MKS1,TMEM67,1,0
MAPK6,CNTRL,1,0
FDX1L,CCDC151,1,0
GC,LRP2,1,0
DNAH11,CPVL;GGCT,1,0
GNAI1,CXCR4,1,0
RAD23A,SMARCA4,1,0
HSPA1A,DYX1C1,1,0
MYBL2,CXCR4,1,0
RPS28,SMARCA4,1,0
ATN1,MEGF8;PCSK5;LRP2;LTBP1,1,0
INS,LRP2,1,0
RAC1,HACE1,1,0
NTHL1,PKD1,1,0
LAPTM4B,TMEM67,1,0
UNC119,SEMA6A,1,0
MKI67,KIF15,1,0
PHB,SMARCA4,1,0
TGFBR1,NEK8,1,0
ACPT,DNAAF3,1,0
WDR70,C5orf42,1,0
UBE2L3,HACE1,1,0
CCDC151,OR7G1;OR7D4;RLN3;RAVER1;ZNF653,1,0
H3F3A,SMARCA4,1,0
SMURF2,PRICKLE1,1,0
ZNF219,SUFU,1,0
LDLR,SNX17,1,0
ELF4,CFC1,1,0
KHNYN,HECTD1,1,0
CCNE1,SMARCA4;MEGF8,1,0
TYR,PRICKLE1,1,0
MMP21,NPS;CLRN3;FOXI2,1,0
HSF1,SMARCA4,1,0
SERPINA4,TAB1,1,0
SERPINA3,KLK3,1,0
MICAL1,RAB1B;RPF2;TRIM5;GTF3C6,1,0
HSF4,SMARCA4,1,0
MYC,SMARCA4,1,0
DPP4,CXCR4,1,0
CDC6,PSKH1,1,0
AR,SMARCA4,1,0
HIST1H1B,LOX,1,0
HIST1H1A,LOX,1,0
ELANE,CXCR4;LRP1,1,0
CLIC1,PCSK5,1,0
PFDN1,IFT140,1,0
PFDN6,CFC1,1,0
CARD18,DYNC2H1,1,0
MEGF8,GFI1B;SYT5;HPN;URI1,1,0
C3,LRP1,1,0
CCL25,SMARCA4,1,0
SORBS1,SEMA6A,1,0
SORBS2,SEMA6A,1,0
HK3,LRP2,1,0
PPP2CB,TAB1,1,0
PPP3CB,PRICKLE1,1,0
PKD1,VCL;HDAC9;VIM;SIAH1;RGS7;ATF7IP;PXN;PTK2;TLN1;SRC;BCAR1;PKD2;SOX17;DDX58;RPL3L;PPL;NADSYN1,1,0
ZNF561,CCDC151,1,0
PCSK5,REN;APPBP2;PTPRM;PMCH;DEK;SH3GLB1,1,0
ZNF263,SUFU,1,0
SELP,SNX17,1,0
IL6,DNAH11,1,0
TTC14,CCDC39,1,0
RNF19A,SUFU,1,0
RPS6KA6,MICAL1,1,0
LRP1,GIPC1;MAPK8IP1;HSP90B1;THBS1;ANAPC10;KAT5;PDGFB;SYNJ2BP;WNT3A;FURIN;ITGB1BP1;SNX17;SRC;SERPINE1;SHC1;BACE1;LRPAP1;SKIL;PLAT;PLAUR;LTF;SCN3A;GTPBP1;MDK;MMP13;MMP14;MMP15;MMP16;MMP17;SERPINA1;PRKACA;MAPK8IP2;NOS1AP;GULP1;HNRPDL;MAPRE1;ANKS1B;CC2D1A;SNRNP70;PID1;RIC8B;PIGA;NAB2;PMEL,1,0
PDE2A,FAM168A;RPS3;ANAPC15;SPAG7;FCHSD2;HSD17B6;RPS6KA4;GLS2,1,0
GSK3B,MICAL1,1,0
LRP8,SNX17,1,0
LRP2,GIPC1;LDLRAP1;GPRASP1;THBS1;SLC9A3;ANAPC10;ANKRA2;SYNJ2BP;MAPK8IP1;ITGB1BP1;SNX17;RBP1;SCGB1A1;SERPINE1;ANKS1B;TLN1;LRPAP1;PLAU;SCN3A;CUBN;MDK;PIP5K1C;TTR;MAPK8IP2;MAGI1;NOS1AP;LRP2BP;TG;TANK;TBR1;TSSC1,1,0
LRP5,PDE2A,1,0
METTL21B,DNAI1,1,0
BTRC,SUFU,1,0
STK36,SUFU,1,0
PRKCSH,SMARCA4,1,0
CXCL12,CXCR4,1,0
ZIC3,DNAI1,1,0
DAB2,LRP1;LRP2,1,0
DAB1,LRP1;LRP2,1,0
CDKN2A,SMARCA4;DNAI1,1,0
GCOM1,DYX1C1,1,0
PDE4A,SMARCA4,1,0
RALB,CXCR4,1,0
DAP,DNAH5,1,0
HMGCL,SMARCA4,1,0
BEND3,MICAL1,1,0
RBL2,SMARCA4,1,0
DYX1C1,PRTG;WDR72,1,0
RBL1,SMARCA4,1,0
RELB,SMARCA4,1,0
ACTN1,PKD1,1,0
CECR2,PRICKLE1,1,0
HLA-C,CXCR4,1,0
FADD,TAB1,1,0
CFC1,MZT2B;CCDC74B,1,0
HNRNPR,TAB1,1,0
ARRB2,CXCR4,1,0
TNFAIP8,SEMA6A,1,0
COL1A1,PKD1,1,0
PDCD6IP,TAB1,1,0
LRRK2,PRICKLE1,1,0
SMARCA4,CARM1;STK11;SIN3B;ZMYND11;ARID1B;TMF1;PBRM1;MBD3;HIST1H3A;KLF1;PABPN1;CBX5;SUMO1;ARID2;CHMP5;SS18L1;STAT2;SMARCB1;SMARCC1;SMARCE1;MYOCD;IKZF1;SIN3A;MPHOSPH6;MPP6;MED17;ARID1A;SS18;GMNN;TP53;STAT3;MKL1;BRWD1;CDK19;MED6;HIST2H2BE;HIST1H4F;DPF3;HIST2H3C;VAV1;ICAM5;ZNF69,1,0
TRAF1,CNTRL,1,0
TRAF2,TAB1,1,0
MAPKAPK5,TAB1,1,0
IL32,IFT140,1,0
BICC1,FAM13C,1,0
NR2C2,TAB1,1,0
COMMD10,SEMA6A,1,0
PTK2,MICAL1;CXCR4,1,0
DOCK1,MMP21,1,0
TRAF6,TAB1,1,0
DNAJA3,IFT140,1,0
IFT140,TRAP1;TELO2;ZNF263,1,0
DRC1,TCF23,1,0
NR4A2,SMARCA4,1,0
HACE1,POPDC3;BEND3;RPF2;MICAL1,1,0
ARMC4,ARHGAP21;OTUD1,1,0
P4HTM,KIF15,1,0
VAV1,CXCR4,1,0
NTN3,PKD1,1,0
TRADD,CNTRL,1,0
LCN2,LRP2,1,0
FREM2,SERTM1;NHLRC3,1,0
CXCL16,NEURL4,1,0
NDUFV1,PDE2A,1,0
PRKAR1A,TAB1,1,0
C1orf127,TMEM201;NPHP4,1,0
ABL1,MICAL1;ROBO1,1,0
TRIP6,TAB1,1,0
CACNA1A,PCSK5;MEGF8;LRP1;LTBP1,1,0
PAX6,SMARCA4,1,0
CAD,LTBP1,1,0
SDC4,CXCR4,1,0
CASP6,TAB1,1,0
PRMT1,ZBTB14,1,0
DES,PKD1,1,0
DLG4,LRP1;LRP2,1,0
DLG3,LRP2,1,0
RHOB,SNX17,1,0
DLG2,LRP2,1,0
AKR1C1,SUFU,1,0
NDUFS1,CFC1,1,0
DLG1,LRP2,1,0
PPP2R1A,TAB1,1,0
KIF15,KIAA1377;MAP1LC3A;KIAA1143;CDCP1;KIF9,1,0
ESR1,SMARCA4,1,0
CDK8,SMARCA4,1,0
SIGLEC12,DNAAF3,1,0
RB1,SMARCA4,1,0
HMGA1,SUFU,1,0
SLC9A3R2,IFT140,1,0
CDK3,FOXJ1,1,0
NCOA3,SUFU,1,0
UBC,CNTRL;NEK8,1,0
RANGRF,CXCL16,1,0
GAP43,LOX,1,0
ACVR1,NEK8,1,0
GALNT3,LRP2,1,0
VIP,PRICKLE1,1,0
SNX17,RLIM;KCNG3,1,0
VIM,MICAL1;KIF15,1,0
HIATL2,ANKS6,1,0
CDH1,PKD1,1,0
BRSK1,DNAAF3,1,0
NR3C1,SMARCA4,1,0
STUB1,DYX1C1,1,0
CDH6,DNAH5,1,0
HMGXB4,TAB1,1,0
CD4,CXCR4,1,0
PAFAH1B1,DNAI1,1,0
FBN2,LTBP1,1,0
