source,target
41519,STX1A
41522,STX1A
41522,STX4
AANAT,F2
ABCB7,FECH
ABCC2,RDX
ABCD1,ABCD3
ABCD2,ABCD3
ABL1,ROS1
ABL1,JUN
ABL1,CBL
ABL1,PTPN6
ABL1,ZAP70
ABL1,RAD51
ABL1,RB1
ABL1,GRB2
ABL1,SRC
ABL1,TP53
ABL1,NTRK1
ABL1,BTK
ABL1,RFX1
ABL1,PTPN12
ABL1,NCK1
ABL1,SLC9A2
ABL1,INPPL1
ABL1,PRKDC
ABL1,EPHB2
ABL1,RAN
ABL1,TUB
ABL1,SOS2
ABL1,BIN1
ABL1,MAP4K1
ABL1,TP73
ABL1,CRKL
ABL1,SH3BP2
ABL1,CASP9
ABL1,PXN
ABL1,APBB1
ABL1,GRIN2D
ABL1,DOK1
ABL1,BCAR1
ABL1,RAD9A
ABL1,MAP4K5
ABL1,PAK2
ABL1,WASF1
ABL1,NCSTN
ABL1,SORBS1
ABL1,ADAM15
ABL1,PAG1
ABL1,RIN1
ABL1,PSTPIP1
ABL1,PTPN18
ABL1,ATM
ABL1,ABI2
ABL1,PLSCR1
ABL1,POLR2A
ABL1,CTNND2
ABL1,EVL
ABL1,YTHDC1
ABL1,GPX1
ABL1,NEDD9
ABL1,SORBS2
ABL1,CABLES2
ABL1,SHD
ABL1,ZDHHC16
ABL1,CABLES1
ABL1,DOK3
ABL1,ABI1
ABL1,RAD52
ACBD3,SMURF2
ACHE,APP
ACHE,COL4A1
ACOX1,SLC2A4
ACOX1,SCP2
ACOX3,SMURF2
ACP1,EPHA2
ACP1,ZAP70
ACP1,SPTAN1
ACP5,SPP1
ACP5,GPC4
ACR,ZP2
ACR,ZP3
ACTG1,PPP1R9A
ACTG1,LGALS13
ACTG1,DSTN
ACTL6A,MYC
ACTN1,SLC2A4
ACTN1,GRIA4
ACTN1,VCL
ACTN2,ADORA2A
ACTN2,ANG
ACTN2,UTRN
ACTN2,SELE
ACTN2,GRIN2B
ACTN2,KCNA4
ACTN2,ACTN3
ACTN2,DLG1
ACTN2,ADAM12
ACTN2,DLG4
ACTN2,DISC1
ACTN2,MYOZ2
ACTN2,MYOZ1
ACTN2,KCNA5
ACTN2,CAMK2A
ACTN2,CAMK2G
ACTN2,CAMK2D
ACTN2,NCOA2
ACTN2,LRRC7
ACTN2,PDLIM1
ACTN2,PALLD
ACTN2,MYPN
ACTN3,NRAP
ACTN4,SLC2A4
ACTN4,PTPN11
ACVR1B,TDGF1
ADAM17,TIMP3
ADCY5,PRKCA
ADCY5,PRKCZ
ADCYAP1,SCTR
ADD3,PRKCA
ADRA1A,FLNC
ADRA1B,FLNC
ADRA1D,FLNC
ADRB1,ARRB1
ADRB2,GRB2
ADRBK1,ARRB1
AES,GTF2E1
AGER,S100A1
AGER,S100B
AHR,RB1
AHR,GTF2F2
AKAP9,CEP55
AKR1B1,SMAD1
ALOX5,GRB2
ALPP,GPLD1
ALPP,PIGK
AMBP,F2
ANK1,EPB42
ANK1,RHAG
ANK1,SPTAN1
ANK1,TTN
ANK1,L1CAM
ANK1,TIAM1
ANK1,OBSCN
ANK1,NBPF3
ANK1,NFASC
ANXA11,SRI
ANXA2,GRB2
ANXA7,SRI
AP1B1,ARRB2
AP1G1,SPTB
AP2A1,SMAD9
AP2A2,SMAD1
AP2B1,ARRB1
APBA1,STX1A
APBA2,LRP1
APBB1,PRNP
APBB1,LRP1
APBB1,TFCP2
APC,JUP
APC,CSNK1E
APC,PRKACA
APC,PPP2R5A
APC,KIFAP3
APC,SIAH1
APC,BUB1
APC,MAPRE1
APC,AXIN1
APC,RP1
APC,AXIN2
APC,ARHGEF4
APC,DLGAP1
APEX1,CSNK2A1
APEX1,GZMA
APEX1,HSPA1A
APEX1,XRCC6
APEX1,NME1
APEX1,HMGB2
APEX1,PCNA
APEX1,TXN
APEX1,TP53
APEX1,XRCC1
APEX1,NXF2
APEX1,FEN1
APEX1,HDAC1
APEX1,EP300
APEX1,HNRNPL
APEX1,HIF1A
APEX1,MUTYH
APEX1,ANP32C
APEX1,DCTN1
APEX1,POLB
APEX1,ANP32A
APEX1,SET
APEX1,UBE2I
APOA1,PDE1A
APOA1,TTR
APOA1,APOB
APOA2,APOC1
APOA2,APOD
APOA2,C4A
APOA2,PLTP
APOA2,APOA1BP
APOA4,GPLD1
APOB,CALR
APOB,CANX
APOB,PPIB
APOB,HSPA5
APOB,HSPA1A
APOB,HSP90AA1
APOB,LIPC
APOB,MTTP
APOB,HSP90B1
APOB,BGN
APOB,LRP2
APOB,LDLR
APOB,PDIA4
APOB,SEC61B
APOB,HSPA8
APOB,SEC61A2
APOD,LEPR
APOE,LRP1
APOE,CTSB
APOE,MAP2
APOE,MAPT
APOE,NEFM
APOE,PLTP
APOE,PRNP
APOE,VLDLR
APOE,LRP2
APOE,SCARB1
APOE,LRP8
APOE,LDLR
APOF,APOA2
APOF,APOA1
APP,EPB41
APP,CLU
AQP1,EPHB2
AQP1,PICK1
AR,JUN
AR,CCND1
AR,GNB2L1
AR,RB1
AR,GTF2F1
AR,GTF2F2
AR,GTF2H1
ARAF,RRAS
ARAF,PIK3R1
ARAF,MAP2K1
ARAF,PKM2
ARAF,RABGGTB
ARAF,HRAS
ARF3,SLC2A4
ARF6,ARRB1
ARF6,ARRB2
ARG1,ARG2
ARHGAP1,PIK3R1
ARHGAP5,SMURF2
ARHGDIA,RDX
ARHGDIB,VAV1
ARID3A,E2F1
ARID4A,EID1
ARID4A,HDAC3
ARNT,SMAD9
ARR3,PTAFR
ARR3,RHO
ARR3,SRC
ARRB1,CLTC
ARRB1,CSK
ARRB1,CXCR2
ARRB1,FGR
ARRB1,OPRD1
ARRB1,PTH1R
ARRB1,PTHLH
ARRB1,MAPK1
ARRB1,SLC9A5
ARRB1,DVL1
ARRB1,CCR5
ARRB1,RALGDS
ARRB1,NSF
ARRB1,MAPK3
ARRB1,DVL2
ARRB1,CYTH2
ARRB1,TRHR
ARRB2,CSNK2A1
ARRB2,CSNK2A2
ARRB2,CLTC
ARRB2,NTSR1
ARRB2,MDM2
ARRB2,OPRD1
ARRB2,OXTR
ARRB2,PTAFR
ARRB2,AVPR2
ARRB2,RALGDS
ARRB2,MAP3K5
ARRB2,CYTH2
ARRB2,MAPK10
ARRB2,NTS
ARRB2,TRH
ARSF,SNRNP70
ART1,PDGFB
ATF3,JUN
ATF3,JUND
ATF4,JUN
ATF4,CEBPB
ATF4,GTF2F2
ATM,RAD51
ATM,E2F1
ATN1,PSMA3
ATN1,GIGYF1
ATN1,SIAH1
ATN1,SIAH2
ATN1,SLIT1
ATN1,TEP1
ATN1,TRIP6
ATN1,PRRC2A
ATN1,BAG6
ATN1,GCC1
ATN1,ALG13
ATN1,KAT6A
ATN1,RBM10
ATN1,KRTAP4-12
ATN1,LTBP4
ATN1,NCK2
ATN1,SYVN1
ATN1,MEGF11
ATN1,RHOXF2
ATN1,PRRC2B
ATN1,EFCAB4B
ATN1,CHRD
ATN1,CBFA2T2
ATP1A1,CFL1
ATP1A1,MAPK3
ATP1A1,FXYD2
ATP1A1,FXYD1
ATP1A1,TPT1
ATP1A2,TPT1
ATP1B1,FXYD1
ATP1B2,NGB
ATR,FLT1
ATR,E2F1
AVP,OXTR
AVPR1A,PRKCA
AXL,GRB2
BAG1,PDGFRB
BAG1,RB1
BAG6,PRPF40A
BAG6,ZFYVE9
BCAT1,SMAD5
BCHE,COLQ
BCR,YWHAB
BCR,YWHAG
BCR,YWHAH
BCR,SFN
BCR,YWHAE
BCR,GRB2
BGN,PLA2G1B
BICD1,RAB6A
BIN1,SOS1
BIN1,MYC
BLK,CBL
BLM,RAD51
BLM,RPA1
BLM,SUMO2
BLM,SUMO3
BMP4,ZFYVE9
BMPR2,PRKCB
BMPR2,MOS
BMX,ITK
BMX,SRC
BRCA2,RAD51
BSG,SLC2A4
BTK,VAV1
BTK,LYN
BTK,CBL
BTK,PRKCB
BTK,ITK
BTK,PRKCZ
BTK,PRKCQ
BTK,PRKCE
BTK,PRKCA
C1QBP,MAPK1
C1QBP,PRKCA
C1QBP,PRKCD
C3,LRP1
C4BPA,LRP1
C6,F2
C7,PLG
C7,CLU
C8A,CD59
C9,CD59
CA2,SLC9A1
CACNA1A,SYT1
CAD,MAPK1
CALD1,GRB2
