name,children,size
2-Sep,"STX1A	1",0.1
5-Sep,"STX1A	1",0.1
5-Sep,"STX4	1",0.1
AANAT,"F2	1",0.1
ABCB7,"FECH	1",0.1
ABCC2,"RDX	1",0.1
ABCD1,"ABCD3	1",0.1
ABCD2,"ABCD3	1",0.1
ABL1,"ROS1	1",0.1
ABL1,"JUN	1",0.1
ABL1,"CBL	1",0.1
ABL1,"PTPN6	1",0.1
ABL1,"ZAP70	1",0.1
ABL1,"RAD51	1",0.1
ABL1,"RB1	1",0.1
ABL1,"GRB2	1",0.1
ABL1,"SRC	1",0.1
ABL1,"TP53	1",0.1
ABL1,"NTRK1	1",0.1
ABL1,"BTK	1",0.1
ABL1,"RFX1	1",0.1
ABL1,"PTPN12	1",0.1
ABL1,"NCK1	1",0.1
ABL1,"SLC9A2	1",0.1
ABL1,"INPPL1	1",0.1
ABL1,"PRKDC	1",0.1
ABL1,"EPHB2	1",0.1
ABL1,"RAN	1",0.1
ABL1,"TUB	1",0.1
ABL1,"SOS2	1",0.1
ABL1,"BIN1	1",0.1
ABL1,"MAP4K1	1",0.1
ABL1,"TP73	1",0.1
ABL1,"CRKL	1",0.1
ABL1,"SH3BP2	1",0.1
ABL1,"CASP9	1",0.1
ABL1,"PXN	1",0.1
ABL1,"APBB1	1",0.1
ABL1,"GRIN2D	1",0.1
ABL1,"DOK1	1",0.1
ABL1,"BCAR1	1",0.1
ABL1,"RAD9A	1",0.1
ABL1,"MAP4K5	1",0.1
ABL1,"PAK2	1",0.1
ABL1,"WASF1	1",0.1
ABL1,"NCSTN	1",0.1
ABL1,"SORBS1	1",0.1
ABL1,"ADAM15	1",0.1
ABL1,"PAG1	1",0.1
ABL1,"RIN1	1",0.1
ABL1,"PSTPIP1	1",0.1
ABL1,"PTPN18	1",0.1
ABL1,"ATM	1",0.1
ABL1,"ABI2	1",0.1
ABL1,"PLSCR1	1",0.1
ABL1,"POLR2A	1",0.1
ABL1,"CTNND2	1",0.1
ABL1,"EVL	1",0.1
ABL1,"YTHDC1	1",0.1
ABL1,"GPX1	1",0.1
ABL1,"NEDD9	1",0.1
ABL1,"SORBS2	1",0.1
ABL1,"CABLES2	1",0.1
ABL1,"SHD	1",0.1
ABL1,"ZDHHC16	1",0.1
ABL1,"CABLES1	1",0.1
ABL1,"DOK3	1",0.1
ABL1,"ABI1	1",0.1
ABL1,"RAD52	1",0.1
ACBD3,"SMURF2	1",0.1
ACHE,"APP	1",0.1
ACHE,"COL4A1	1",0.1
ACOX1,"SLC2A4	1",0.1
ACOX1,"SCP2	1",0.1
ACOX3,"SMURF2	1",0.1
ACP1,"EPHA2	1",0.1
ACP1,"ZAP70	1",0.1
ACP1,"SPTAN1	1",0.1
ACP5,"SPP1	1",0.1
ACP5,"GPC4	1",0.1
ACR,"ZP2	1",0.1
ACR,"ZP3	1",0.1
ACTG1,PPP1R9A,0.1
ACTG1,"LGALS13	1",0.1
ACTG1,"DSTN	1",0.1
ACTL6A,"MYC	1",0.1
ACTN1,"SLC2A4	1",0.1
ACTN1,"GRIA4	1",0.1
ACTN1,"VCL	1",0.1
ACTN2,"ADORA2A	1",0.1
ACTN2,"ANG	1",0.1
ACTN2,"UTRN	1",0.1
ACTN2,"SELE	1",0.1
ACTN2,"GRIN2B	1",0.1
ACTN2,"KCNA4	1",0.1
ACTN2,"ACTN3	1",0.1
ACTN2,"DLG1	1",0.1
ACTN2,"ADAM12	1",0.1
ACTN2,"DLG4	1",0.1
ACTN2,"DISC1	1",0.1
ACTN2,"MYOZ2	1",0.1
ACTN2,"MYOZ1	1",0.1
ACTN2,"KCNA5	1",0.1
ACTN2,"CAMK2A	1",0.1
ACTN2,"CAMK2G	1",0.1
ACTN2,"CAMK2D	1",0.1
ACTN2,"NCOA2	1",0.1
ACTN2,"LRRC7	1",0.1
ACTN2,"PDLIM1	1",0.1
ACTN2,"PALLD	1",0.1
ACTN2,"MYPN	1",0.1
ACTN3,"NRAP	1",0.1
ACTN4,"SLC2A4	1",0.1
ACTN4,"PTPN11	1",0.1
ACVR1B,"TDGF1	1",0.1
ADAM17,"TIMP3	1",0.1
ADCY5,"PRKCA	1",0.1
ADCY5,"PRKCZ	1",0.1
ADCYAP1,"SCTR	1",0.1
ADD3,"PRKCA	1",0.1
ADRA1A,"FLNC	1",0.1
ADRA1B,"FLNC	1",0.1
ADRA1D,"FLNC	1",0.1
ADRB1,"ARRB1	1",0.1
ADRB2,"GRB2	1",0.1
ADRBK1,"ARRB1	1",0.1
AES,"GTF2E1	1",0.1
AGER,"S100A1	1",0.1
AGER,"S100B	1",0.1
AHR,"RB1	1",0.1
AHR,"GTF2F2	1",0.1
AKAP9,"CEP55	1",0.1
AKR1B1,"SMAD1	1",0.1
ALOX5,"GRB2	1",0.1
ALPP,"GPLD1	1",0.1
ALPP,"PIGK	1",0.1
AMBP,"F2	1",0.1
ANK1,"EPB42	1",0.1
ANK1,"RHAG	1",0.1
ANK1,"SPTAN1	1",0.1
ANK1,"TTN	1",0.1
ANK1,"L1CAM	1",0.1
ANK1,"TIAM1	1",0.1
ANK1,"OBSCN	1",0.1
ANK1,"NBPF3	1",0.1
ANK1,"NFASC	1",0.1
ANXA11,"SRI	1",0.1
ANXA2,"GRB2	1",0.1
ANXA7,"SRI	1",0.1
AP1B1,"ARRB2	1",0.1
AP1G1,"SPTB	1",0.1
AP2A1,"SMAD9	1",0.1
AP2A2,"SMAD1	1",0.1
AP2B1,"ARRB1	1",0.1
APBA1,"STX1A	1",0.1
APBA2,"LRP1	1",0.1
APBB1,"PRNP	1",0.1
APBB1,"LRP1	1",0.1
APBB1,"TFCP2	1",0.1
APC,"JUP	1",0.1
APC,"CSNK1E	1",0.1
APC,"PRKACA	1",0.1
APC,"PPP2R5A	1",0.1
APC,"KIFAP3	1",0.1
APC,"SIAH1	1",0.1
APC,"BUB1	1",0.1
APC,"MAPRE1	1",0.1
APC,"AXIN1	1",0.1
APC,"RP1	1",0.1
APC,"AXIN2	1",0.1
APC,"ARHGEF4	1",0.1
